id,gmc,c,cf,stom,blood,factc,horm,ct,gmt,t,alarm,doors,factt,gmm,pain,fm,m,som,factm
9251_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2719_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4774_23144,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
4713_23144,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
3321_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5636_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
343_23145,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,1,1,0,0,0,0
9603_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3790_23145,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5763_23145,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
6298_23145,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0
8949_23145,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
245_23145,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2284_23145,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
981_23145,1,1,0,0,0,0,0,Pilule,1,0,0,0,0,0,0,0,0,0,0
8146_23145,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0
9524_23145,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
754_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7763_23145,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
1382_23145,1,1,0,0,0,1,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
8620_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205_23145,1,1,1,1,0,1,0,Pillule,1,0,1,0,1,1,1,0,0,0,0
1103_23145,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5156_23145,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
5661_23145,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
3921_23145,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
4623_23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3363_23145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072_23145,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
7851_23145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875_23145,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0
9948_23145,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
8309_23145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6311_23145,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
